,Unnamed: 0,Tour_Name,Tour_Type,Number_of_Reviewer,Rating,Duration,Price,Highlight,Location
13,13,"44. Morning Market and Street Art Tour, Including Breakfast and all Transport",Private and Luxury,32.0,5,3–4 hours,45,"2 delicious breakfasts are included, come hungry!, We will try some local snacks in and around the market, We can try some local Iced Tea and Coffee!, Hotel pick up and drop off, Experienced English Speaking Guide","Asia, Cambodia, Phnom Penh, Things to Do in Phnom Penh, Phnom Penh Tours, Tours and Tickets"
14,14,45. Bike the Angkor Temples Active Day Tour,Full-day Tours,337.0,5,6+ hours,55,"Professional guide, Use of bicycle and safety equipment, Lunch, Bottled water, Snacks","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
17,17,48. Full-Day Banteay Srei & 4 Temples Join-in Tour,Full-day Tours,388.0,5,7–8 hours,20,"Cold towels & Bottled water, Professional guide, Hotel pickup (7:40am to 8:10am) & Drop off (4pm), Transport by luxury air-conditioned minivan","Asia, Cambodia, Siem Reap Province, Siem Reap, Svay Dangkum, Things to Do in Svay Dangkum, Svay Dangkum Tours, Tours and Tickets"
19,19,50. Kulen Mountain park and waterfall for small groups,Full-day Tours,163.0,5,6+ hours,45,"Air-conditioned vehicle, All Fees and Taxes, Chilled bottled water, English-speaking tour guide, Entry/Admission - Preah Ang Thom pagoda, Entry/Admission - Phnom Kulen Waterfall","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
20,20,51. Cycle the Floating Village & Sunset Cruise - Inclusive Local Snacks & Lunch,Day Trips,29.0,5,6+ hours,75,"Hotel pick up & drop Off, Quality bike and helmet, Support transport, English speaking cycling guide, Soft drinks or Beer, Snacks, Water supplies, Entry/Admission - Tonle Sap Lake","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
21,21,"52. Sunset and Evening Dinner Cruises; 5&7pm, with free Hotel Pick Up",Night Tours,112.0,4.5,2 hours,15,"Live Traditional Khmer music, Delicious, made-to-order BBQ dinner (if dinner option selected)., Hotel Pick Up (from central Phnom Penh tourist areas), Bar snacks available., Free Welcome Cocktail","Asia, Cambodia, Phnom Penh, Things to Do in Phnom Penh, Phnom Penh Tours, Tours and Tickets"
22,22,53. Angkor Wat Small Group Sunrise Tour With Breakfast included,Bus Tours,95.0,5,6–7 hours,23,"Vaccinated English speaking tour guide with license, Vaccinated Experienced driver, Transport with air-conditioned ( Car or Minivan), Free cool bottle of water and towels, Enjoy of taste authentic Cambodian food (No vegetarian option), Visit local market in the village","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
23,23,54. Siem Reap Evening Foodie Vespa Tour,Private and Luxury,73.0,5,4–5 hours,55,"Water & soft drinks, Food tasting & Cold beverage., Private transportation, Scooter & Experience driver included., helmet & first aid kit., All Fees and Taxes","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
26,26,57.  Angkor Wat Sunrise small - groups and nearby temples,Adventure Tours,915.0,5,8–9 hours,13.85,"Transport by air-conditioned minivan, Hotel pickup and drop-off (selected hotels only), Local guide, Driver/guide, All activities, Bottled water","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
28,28,59. Angkor Wat: full-day 'Small Tour' of nearby sites with sunset,Full-day Tours,289.0,5,8–9 hours,13.95,"Driver/guide, Bottled water, Pick-up and drop-off, Air-conditioned transport","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
29,29,60. ATV Grand Sunset Tour,Private Sightseeing Tours,37.0,5,2 hours,71.8,"Bottle of water and fresh towel after the tour, Driver/Instructor, Hotel pickup and drop-off ( in the city of Siem Reap only), Helmet, Face mask and Rain coat ( in case of rain), Private tour, Bottled water, Entry/Admission - Quad Adventure Cambodia Siem Reap","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
30,30,61.  Angkor Wat Sunrise small - groups and nearby temples,Adventure Tours,915.0,5,8–9 hours,13.85,"Transport by air-conditioned minivan, Hotel pickup and drop-off (selected hotels only), Local guide, Driver/guide, All activities, Bottled water","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
33,33,64. Angkor Wat Private Day Tour from Siem Reap,Bus Tours,305.0,5,6–7 hours,29,"Hotel pickup and drop-off, Private tour with a tuk tuk or air conditioned vehicle, Local English Speaking guide, Bottled water on tour","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
35,35,66. 2-Day Angkor Wat and Banteay Srei Temple Tour,Bus Tours,33.0,5,2 days,55,"Private transportation, 4 sit-down, safe-to-eat restaurants, Dinner, Unlimited beer and sodas, Hotel Pickup & Drop-off, Tuktuk Transport, Small-group tour (2-12 people)",
36,36,67. Siem Reap Countryside Quad Biking Tour,Adventure Tours,29.0,5,2 hours,45,"Hotel pickup and drop-off, Guide ATV bike, Helmet, Bottled water","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
40,40,71. Bike the Angkor Temples Active Day Tour,Full-day Tours,337.0,5,6+ hours,55,"Professional guide, Use of bicycle and safety equipment, Lunch, Bottled water, Snacks","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
41,41,72. Private Angkor Wat Sunrise Tour,Bus Tours,83.0,5,6+ hours,26,"Experienced and licensed English Speaking Tour Guide, Air-conditioned vehicle, Bottled water, Hotel Pick up and Drop Off","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
43,43,74. Private Full-Day Angkor Temple and Sunset Viewing,Full-day Tours,51.0,4.5,6+ hours,37.95,"Hotel pickup and drop-off, Sightseeing as specified in the itinerary, Transport by private vehicle, Mineral Water, Sunset Viewing","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
44,44,"75. Full-Day Tour - City & Countryside, Old Bamboo Train, Secret Bat Cave & Sunset",Full-day Tours,68.0,5,8–9 hours,20,"Private transportation, Entry/Admission - Battambang Bat Caves","Asia, Cambodia, Battambang Province, Battambang, Things to Do in Battambang, Battambang Tours, Tours and Tickets"
45,45,76. Bike to the backroads of Kampot,Half-day Tours,43.0,5,4 hours,25,"Drinking water, Local guide, Bicycle and helmet","Asia, Cambodia, Kampot Province, Kampot, Things to Do in Kampot, Kampot Tours, Tours and Tickets"
48,48,79. ATV Grand Sunset Tour,Private Sightseeing Tours,37.0,5,2 hours,71.8,"Bottle of water and fresh towel after the tour, Driver/Instructor, Hotel pickup and drop-off ( in the city of Siem Reap only), Helmet, Face mask and Rain coat ( in case of rain), Private tour, Bottled water, Entry/Admission - Quad Adventure Cambodia Siem Reap","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
49,49,80. La Plantation tour (discovering Kampot Pepper) + Lunch,Walking Tours,47.0,4.5,2–4 hours,21,"Lunch (starter - main dish - dessert), Guided tour + tasting","Asia, Cambodia, Kampot Province, Kampot, Things to Do in Kampot, Kampot Tours, Tours and Tickets"
50,50,81.  Phnom Penh Authentic Food Tour 100% By Local,Tuk Tuk Tours,36.0,5,4 hours,69,"Inclusive of meals, snacks, drinks. Drinks are limited to local beer, water and soft drinks., Unlimited beers and water, Unlimited local beers, Hotel pick up and drop off","Asia, Cambodia, Phnom Penh, Things to Do in Phnom Penh, Phnom Penh Tours, Tours and Tickets"
55,55,86. Angkor Sunrise Jeep Tour - Inclusive Breakfast & Lunch,Full-day Tours,133.0,5,6+ hours,90,"Round trip by Army Jeep, Bottled Water, Professional English speaking guide, Breakfast, Lunch, Experienced driver, Light refreshment","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
56,56,87. Siem Reap Evening Foodie Vespa Tour,Private and Luxury,73.0,5,4–5 hours,55,"Water & soft drinks, Food tasting & Cold beverage., Private transportation, Scooter & Experience driver included., helmet & first aid kit., All Fees and Taxes","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
60,60,91.  Sunrise Angkor Wat Half Day Join-In Tour (by luxury MiniVan),Full-day Tours,966.0,5,7–8 hours,15,"Cold towels & Water, Local taxes, Professional English Spoken Tour Guide, Hotel pickup (4:20am to 4:50am), Transport by luxury air-conditioned mini-bus, Hotel Drop off (12:30pm)","Asia, Cambodia, Siem Reap Province, Siem Reap, Svay Dangkum, Things to Do in Svay Dangkum, Svay Dangkum Tours, Tours and Tickets"
62,62,93. Floating Village Sunset Boat & Jeep Tour - Inclusive Drinks,City Tours,34.0,5,6 hours,70,"Local Snack, Cool bottled of water & Beverages, Open Air Jeep for round trip transportation, Wooden Boat to see Floating Village and sunset, All Fees and Taxes, English Speaking Guide, Soft drink or Beer, Entry/Admission - Chong Kneas Floating Village, Entry/Admission - Tonle Sap Lake","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
72,72,103. Cambodian Pottery Class in Siem Reap,Pottery Classes,107.0,4.5,1–2 hours,33,"Hotel pickup and drop-off by tuk tuk, Workshop visit, Local guide and pottery teacher, All art materials, Pottery class, Pottery demonstration, Pottery bowl (handmade by you), A ‘’Cambodian Potter Diploma, Bottle of water, All taxes, fees and handling charges","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
76,76,107. Phnom Penh Killing Fields and Prison S21 Join Tour,Full-day Tours,126.0,4,5–6 hours,15,"Hotel pickup and drop-off (downtown Phnom Penh), Recorded documentary played on-board, English-speaking bus attendant, Separate driver, Free WiFi, 1 x bottle of drinking water","Asia, Cambodia, Phnom Penh, Things to Do in Phnom Penh, Phnom Penh Tours, Tours and Tickets"
79,79,110. Cambodia Fire Range Outdoor Experience,Ports of Call Tours,42.0,5,6–7 hours,676.93,"Air-conditioned vehicle, Pick Up and Drop down Service at your desirable place or hotel in Phnom Penh, Video service and also plus edited, Cold beers","Asia, Cambodia, Phnom Penh, Things to Do in Phnom Penh, Phnom Penh Tours, Tours and Tickets"
80,80,111. La Plantation tour (discovering Kampot Pepper) + Lunch,Walking Tours,47.0,4.5,2–4 hours,21,"Lunch (starter - main dish - dessert), Guided tour + tasting","Asia, Cambodia, Kampot Province, Kampot, Things to Do in Kampot, Kampot Tours, Tours and Tickets"
81,81,112. Best Temples Day Tour in Siem Reap with Sunset,Bus Tours,66.0,5,6+ hours,22,"Hotel pickup and drop-off, Lenienced and experienced English speaking tour guide, Transport by air-conditioned minivan, Mineral water & cool towel, Sunset at ruin temple, Local tax","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
85,85,116. Tonle Sap Lake and Kampong Phluk Private Half Day tour from Siem Reap,Day Cruises,41.0,5,4 hours,59,"Hotel pickup and drop-off, Private air conditioned vehicle on tour, Private Local Live English Speaking guide, Cold bottled water, Private tour, Entry/Admission - Kampong Phluk Floating Village, Entry/Admission - Kampong Phluk Floating Village","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
87,87,118. Private Siem Reap City Hidden Gems Guided Tour,Adventure Tours,51.0,5,2–3 hours,35,"All Fees and Taxes, Passionate english speaking local guide, Snacks","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
90,90,121. Bike to the backroads of Kampot,Half-day Tours,43.0,5,4 hours,25,"Drinking water, Local guide, Bicycle and helmet","Asia, Cambodia, Kampot Province, Kampot, Things to Do in Kampot, Kampot Tours, Tours and Tickets"
95,95,126. Full-Day Temples of Angkor Small Group Tour,Bus Tours,574.0,5,6+ hours,13,"Hotel pickup and drop-off, licensed and experienced English speaking tour guide, Transport by air-conditioned minivan, Mineral water & cool towel, Local tax","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
97,97,128. Sunset Dinner/cocktails/wines and beers with a Floating Village cruise Tour,Sunset Cruises,57.0,4,4 hours,49,"Hotel pickup and drop-off in air conditioned taxi or tuk tuk, English speaking guide, Buffet dinner or fixed menu, All you can drink selection of beers, spirits, cocktails, champagne,wines, or soft drinks, Tour the fishing floating villages, All check point fees and taxes included in the price, No hidden additional costs, Restroom on board, Entry/Admission - Tonle Sap Lake, Entry/Admission - Lotus Farm","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
99,99,130. Private one-day tuktuk 'small tour' of the oldest Angkor temples,Full-day Tours,32.0,5,8–9 hours,18,"Bottled water, Hotel pickup and drop-off (if option selected), Private tour, Round-trip private transfer","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
100,100,131. Private Angkor Wat Sunrise Tour,Bus Tours,83.0,5,6+ hours,26,"Experienced and licensed English Speaking Tour Guide, Air-conditioned vehicle, Bottled water, Hotel Pick up and Drop Off","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
102,102,"133. Full-Day Tour - City & Countryside, Old Bamboo Train, Secret Bat Cave & Sunset",Full-day Tours,68.0,5,8–9 hours,20,"Private transportation, Entry/Admission - Battambang Bat Caves","Asia, Cambodia, Battambang Province, Battambang, Things to Do in Battambang, Battambang Tours, Tours and Tickets"
104,104,135. Angkor Sunrise Discovery Active Bike Day Tour,Full-day Tours,336.0,5,6+ hours,99,"Hotel pickup and drop-off, Transport by air-conditioned minivan, Bike and safety equipment, Professional guide, Breakfast, Lunch, Snacks and refreshment","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
109,109,140. One Day Angkor Temple Tour with Sunrise,Full-day Tours,31.0,5,7–8 hours,55,"English-speaking tour guide., A/ C car or Van, Cold waters., Cold towels.","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
111,111,142. Angkor Sunrise Jeep Tour - Inclusive Breakfast & Lunch,Full-day Tours,133.0,5,6+ hours,90,"Round trip by Army Jeep, Bottled Water, Professional English speaking guide, Breakfast, Lunch, Experienced driver, Light refreshment","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
112,112,"143. Angkor Wat Private Driver Tours to Angkor Wat Sunrise, Angkor Thom & Ta Prohm",Full-day Tours,30.0,5,7–8 hours,95,"Air-conditioned vehicle, Private transportation, Tour Guide Service, Cold Drinks & Cold Towels","Asia, Cambodia, Siem Reap Province, Siem Reap, Svay Dangkum, Things to Do in Svay Dangkum, Svay Dangkum Tours, Tours and Tickets"
115,115,146. discover floating villages and tonle sap lake by boat,Bus Tours,40.0,4,4 hours,39,"English speaking professional local guides, meals on the Queen Tara Riverboat, 2 drinks (soft drink, beers, cocktails, wines or champagne, Tour of the floating fishing villages, All check point fees, Free hotel pickup and drop-off in air conditioned taxi or tuk tuk, Restroom on board, Entry/Admission - Tonle Sap Lake, Entry/Admission - Lotus Farm","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
116,116,147. A Half Day Tour in Phnom Penh City,Bus Tours,29.0,4.5,4 hours,39,"Provide Cold Water, English Speaking Local Guide","Asia, Cambodia, Phnom Penh, Things to Do in Phnom Penh, Phnom Penh Tours, Tours and Tickets"
119,119,150. Angkor Jeep Tour Discovery - Inclusive Lunch,Full-day Tours,35.0,5,6+ hours,80,"Round trip by Army Jeep, Cambodian style lunch, Water & Local snacks, Professional English speaking guide, Lunch","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
121,121,152. Angkor Jeep Tour Discovery - Inclusive Lunch,Full-day Tours,35.0,5,6+ hours,80,"Round trip by Army Jeep, Cambodian style lunch, Water & Local snacks, Professional English speaking guide, Lunch","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
123,123,"154. Full-Day Tour: Kulen Mountain, Beng Mealea & Tonle Sap",Full-day Tours,30.0,5,6+ hours,75,"Full vaccinated English speaking guide & driver, Private transport with air-conditioned, Cool bottles of water & towels during this trip","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
124,124,155. Siem Reap Cooking Class,Cooking Classes,85.0,5,3 hours,30,"We have two options on arrival: chilled lemongrass water or regular still water, Private transportation, All Fees and Taxes, All cooking equipment and ingredients","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
128,128,159. Private Angkor Sunrise & Major Temples (English Speaking Guide & SUV Car Driver),Bus Tours,33.0,5,5–6 hours,75,"Our best selected Local English Speaking Tour Guide, Private transportation, Vehicle SUV Car Driver, Cool Drinking Water and cool Wipe Towels","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
130,130,161. Siem Reap Countryside Half-Day Shared Tour,Walking Tours,130.0,5,4–5 hours,39,"Professional local English speaking guide, Bicycle and helmet, Local snacks and fruit, Bottled water","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
131,131,162. Angkor Wat Sunrise Small Group Tour from Siem Reap,Bus Tours,131.0,5,6–7 hours,39,"Hotel pickup and drop-off, Local Live English Speaking guide, Bottled water, Transport by air-conditioned minivan/bus","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
134,134,165. Sunset or sunrise bicycle tour around Angkor Wat and nearby temples,Bike Tours,32.0,5,7–8 hours,45,"Guide, Bicycles, Bottled water, Pick-up and drop-off","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
135,135,166. One Day Angkor Temple Tour with Sunrise,Full-day Tours,31.0,5,7–8 hours,55,"English-speaking tour guide., A/ C car or Van, Cold waters., Cold towels.","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
137,137,"168. Aroma Therapy Massage, Relaxation therapeutic aromatherapy oil massages.",1 hour,113.0,4.5,1 hour,38.15,"1 hour massage treatment, drinks","Asia, Cambodia, Phnom Penh, Things to Do in Phnom Penh, Phnom Penh Tours, Tours and Tickets"
140,140,171. Angkor Adventure Vespa Tour - Inclusive local snacks & Lunch,Full-day Tours,34.0,5,6+ hours,65,"Hotel pick up & drop off, English speaking tour guide, Vespa & experience driver, Water supplies during the tour, Local snacks, Lunch","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
143,143,174. Angkor Wat Full Day Private Tour with Watching Sunset at Temple,Bus Tours,43.0,5,7–9 hours,19,"Tours with professional English speaking license tour guide, All private transfer by comfortable air-con vehicle, Drink water and cool fresh tower for the whole trip, Services charge and current government VAT tax, Pick up & Drop off at your hotel ( please provide us your hotel name for pickup ) )","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
145,145,176. Angkor Sunrise Jeep Tour - Inclusive Breakfast & Lunch,Full-day Tours,133.0,5,6+ hours,90,"Round trip by Army Jeep, Bottled Water, Professional English speaking guide, Breakfast, Lunch, Experienced driver, Light refreshment","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
147,147,178. Private Angkor Wat One Day Tour - Best of Angkor,Adventure Tours,42.0,5,6–9 hours,64.5,"Private transportation, All Fees and Taxes, Vehicle with air conditioning (for transport option car & van), Experienced Driver, Certified English-speaking guide, All costs for guide and driver (entrance etc.), Pickup and droppoff from/to hotel or meeting point","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
150,150,181. Angkor Wat Sunrise and Angkor Thom Sunset Tour,Bus Tours,31.0,5,9–10 hours,56,"English-speaking Tour Guide, Transportation ( AC car or minivan or minibus), Bottles of cold drinking Water","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
153,153,184. Full-Day 'Big Tour' with Sunset at Phnom Bakheng,Walking Tours,117.0,5,6+ hours,18.47,"Air-conditioned vehicle, Bottled water, English speaking tour guide, Pick up and drop off","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
156,156,187. A Half Day Tour in Phnom Penh City,Bus Tours,29.0,4.5,4 hours,39,"Provide Cold Water, English Speaking Local Guide","Asia, Cambodia, Phnom Penh, Things to Do in Phnom Penh, Phnom Penh Tours, Tours and Tickets"
160,160,191. 1-Day Amazing Angkor Wat Tour with Sunrise & All Interesting Major Temples,Full-day Tours,83.0,5,7–8 hours,75,"English Speaking Guide with licensed., Pick up & drop off at hotel, Air-conditioned vehicle with driver, Cool water and Cool wet towel, Start pick up at your hotel and finish drop you at hotel","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
161,161,192. Full Day Banteay Srei and Grand Circuit Temples,Bus Tours,34.0,5,6+ hours,25,"Licensed and experienced English Speaking tour guide, Air-con vehicle, Hotel pickup and drop off, Bottled water, Local tax","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
167,167,198. Full Day Small Group Tour in Cambodia's 4 Major Temples,Full-day Tours,70.0,5,7–8 hours,13,"Air-conditioned vehicle, Mini bus / couch, English speking tour guide, Pick up/ Drop off, Cool water","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
168,168,199. Siem Reap Countryside Sunset Ride,Adventure Tours,41.0,5,5 hours,35,"Hotel pick up & Drop Off, Professional English-speaking guide, Bicycle & Helmet, Village donation, Light refreshment, Local snacks and fruits, Bottled water","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
170,170,201. Full Day Small Group Experience of Angkor with Sunset,Bus Tours,39.0,5,7–8 hours,23,"Vaccinated Experienced English tour guide with license, Vaccinated Experienced and friendly driver, Transport with air-conditioning ( Car or Minivan), Free cool and towels during the tour, Free hotel pick-up and drop off","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
171,171,202. Mudita Signature Treatment,1–2 hours,39.0,5,1–2 hours,74.25,"This is an unique signature spa treatment at the Mudita Spa which all customer should experience it,","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
175,175,206. Phnom Kulen Waterfall & 1000 Linga River Small-Group Tours from Siem Reap,Bus Tours,174.0,5,5–7 hours,25,"Small-Group Tour, Experience English Speaking Guide, Shared air conditioned van/bus, Bottled water, Hotel pickup and drop-off","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
176,176,207. Special Tour BambooTrain & Bat Cave,4 hours,31.0,5,4 hours,15,"Parking Fees, Private transportation","Asia, Cambodia, Battambang Province, Battambang, Things to Do in Battambang, Battambang Tours, Tours and Tickets"
