,Tour_Name,Tour_Type,Number_of_Reviewer,Rating,Duration,Price,Highlight,Location
10,"41. Phnom Penh City Tour, Silver Pagoda, Genocide Museum, Killing Fields",Bus Tours,32,5,5 hours,65.67,"Hotel pickup and drop-off, Small Group Tour with max. 10 pax, Sharing tuk tuk (01 and 02 pax) or an air conditioned vehicle (3 or more) during tour, Experience English Speaking Guide, Cold bottled water during tours","Asia, Cambodia, Phnom Penh, Things to Do in Phnom Penh, Phnom Penh Tours, Tours and Tickets"
11,42. The Mekong Island Biking Tour and Lunch with farmers,City Tours,92,5,6 hours,49,"Hotel pickup and drop-off, English speaking cycle guide, Cannondale Mountain Bike & helmet, Cambodian lunch or dinner, Round-trip shared transfer, Ferry crossing fee, Entry/Admission - Mekong Island - Koh Dach","Asia, Cambodia, Phnom Penh, Things to Do in Phnom Penh, Phnom Penh Tours, Tours and Tickets"
12,43. Private One Day Trip in Phnom Penh Capital City,Bus Tours,5,5,6+ hours,145,"English Speaking Tour Guide, Private Transportation with A/C, Pure Drinking Water, Hotel pick up & drop off","Asia, Cambodia, Phnom Penh, Things to Do in Phnom Penh, Phnom Penh Tours, Tours and Tickets"
13,"44. Morning Market and Street Art Tour, Including Breakfast and all Transport",Private and Luxury,32,5,3–4 hours,45,"2 delicious breakfasts are included, come hungry!, We will try some local snacks in and around the market, We can try some local Iced Tea and Coffee!, Hotel pick up and drop off, Experienced English Speaking Guide","Asia, Cambodia, Phnom Penh, Things to Do in Phnom Penh, Phnom Penh Tours, Tours and Tickets"
14,45. Bike the Angkor Temples Active Day Tour,Full-day Tours,337,5,6+ hours,55,"Professional guide, Use of bicycle and safety equipment, Lunch, Bottled water, Snacks","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
15,"46. Phnom Penh Tour: Royal Palace, Silver Pagoda, Killing Field, Tuol Sleng, Museum",Ports of Call Tours,7,4.5,6–7 hours,36,"Tuk Tuk, English speaking tuk tuk driver, Pick up & drop off, Cold water","Asia, Cambodia, Kampot Province, Changhaon, Things to Do in Changhaon, Changhaon Tours, Tours and Tickets"
16,47. Sunset Cruise in Phnom Penh - One and a Half Hours,Sunset Cruises,10,4.5,1–2 hours,12,"Hotel pick up, Unlimited beer and soft drinks, Fresh fruit platter, English speak guide, Entry/Admission - Phnom Penh","Asia, Cambodia, Phnom Penh, Things to Do in Phnom Penh, Phnom Penh Tours, Tours and Tickets"
17,48. Full-Day Banteay Srei & 4 Temples Join-in Tour,Full-day Tours,388,5,7–8 hours,20,"Cold towels & Bottled water, Professional guide, Hotel pickup (7:40am to 8:10am) & Drop off (4pm), Transport by luxury air-conditioned minivan","Asia, Cambodia, Siem Reap Province, Siem Reap, Svay Dangkum, Things to Do in Svay Dangkum, Svay Dangkum Tours, Tours and Tickets"
18,49. Private half day tours in Kampot with local tuktuk,5–6 hours,5,5,5–6 hours,33,"Private transportation, Transportation: tuktuk, Driver as English tour guide, Free coffee for the solo traveller, Extra charge for outside-town pick-up","Asia, Cambodia, Kampot Province, Kampot, Things to Do in Kampot, Kampot Tours, Tours and Tickets"
19,50. Kulen Mountain park and waterfall for small groups,Full-day Tours,163,5,6+ hours,45,"Air-conditioned vehicle, All Fees and Taxes, Chilled bottled water, English-speaking tour guide, Entry/Admission - Preah Ang Thom pagoda, Entry/Admission - Phnom Kulen Waterfall","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
20,51. Cycle the Floating Village & Sunset Cruise - Inclusive Local Snacks & Lunch,Day Trips,29,5,6+ hours,75,"Hotel pick up & drop Off, Quality bike and helmet, Support transport, English speaking cycling guide, Soft drinks or Beer, Snacks, Water supplies, Entry/Admission - Tonle Sap Lake","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
21,"52. Sunset and Evening Dinner Cruises; 5&7pm, with free Hotel Pick Up",Night Tours,112,4.5,2 hours,15,"Live Traditional Khmer music, Delicious, made-to-order BBQ dinner (if dinner option selected)., Hotel Pick Up (from central Phnom Penh tourist areas), Bar snacks available., Free Welcome Cocktail","Asia, Cambodia, Phnom Penh, Things to Do in Phnom Penh, Phnom Penh Tours, Tours and Tickets"
22,53. Angkor Wat Small Group Sunrise Tour With Breakfast included,Bus Tours,95,5,6–7 hours,23,"Vaccinated English speaking tour guide with license, Vaccinated Experienced driver, Transport with air-conditioned ( Car or Minivan), Free cool bottle of water and towels, Enjoy of taste authentic Cambodian food (No vegetarian option), Visit local market in the village","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
23,54. Siem Reap Evening Foodie Vespa Tour,Private and Luxury,73,5,4–5 hours,55,"Water & soft drinks, Food tasting & Cold beverage., Private transportation, Scooter & Experience driver included., helmet & first aid kit., All Fees and Taxes","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
24,55. Ground Transfer/SUV/ Phnom Penh to Siem Reap,5 hours,11,5,5 hours,110,"Private transportation, Air-conditioned vehicle, Driver and transport, Bottled water","Asia, Cambodia, Phnom Penh, Things to Do in Phnom Penh, Phnom Penh Tours, Tours and Tickets"
25,56. Kulen Mountain from Siem Reap Jeep Adventure,National Parks,25,5,6+ hours,129,"Hotel pick up & drop off, Travel with US army Jeep & driver, English speaking tour guide, Lunch, Snack, Water supplies during the tour, Guaranteed to skip the lines","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
26,57.  Angkor Wat Sunrise small - groups and nearby temples,Adventure Tours,915,5,8–9 hours,13.85,"Transport by air-conditioned minivan, Hotel pickup and drop-off (selected hotels only), Local guide, Driver/guide, All activities, Bottled water","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
27,"58. 2hours Private Sunset Cruise with unlimited beer, soft drinks and Tour guide",Private and Luxury,1,5,2 hours,66.67,"Hotel pick up and drop off, A bottle of wine, Unlimited beer and soft drinks, Fresh fruit platter, Private English speaking guide, Private boat for 2 hours","Asia, Cambodia, Phnom Penh, Things to Do in Phnom Penh, Phnom Penh Tours, Tours and Tickets"
28,59. Angkor Wat: full-day 'Small Tour' of nearby sites with sunset,Full-day Tours,289,5,8–9 hours,13.95,"Driver/guide, Bottled water, Pick-up and drop-off, Air-conditioned transport","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
29,60. ATV Grand Sunset Tour,Private Sightseeing Tours,37,5,2 hours,71.8,"Bottle of water and fresh towel after the tour, Driver/Instructor, Hotel pickup and drop-off ( in the city of Siem Reap only), Helmet, Face mask and Rain coat ( in case of rain), Private tour, Bottled water, Entry/Admission - Quad Adventure Cambodia Siem Reap","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
30,61.  Angkor Wat Sunrise small - groups and nearby temples,Adventure Tours,915,5,8–9 hours,13.85,"Transport by air-conditioned minivan, Hotel pickup and drop-off (selected hotels only), Local guide, Driver/guide, All activities, Bottled water","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
31,"62. Battambang Full Day Tour from Siem Reap - Bamboo Train, Killing Cave & Sunset",Full-day Tours,21,4.5,6+ hours,132.31,"Lunch, Snacks, Bottled water, Entry Fees, Air-conditioned vehicle, Private transportation, Entry/Admission - Battambang, Entry/Admission - Wat Banan Temple, Entry/Admission - Battambang, Entry/Admission - Phnom Sampeau","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
32,63. Highlights & Hidden Gems of Phnom Penh,Adventure Tours,8,5,1–4 hours,23,"English Speaking Tour Guide, Testing and Sampling","Asia, Cambodia, Phnom Penh, Things to Do in Phnom Penh, Phnom Penh Tours, Tours and Tickets"
33,64. Angkor Wat Private Day Tour from Siem Reap,Bus Tours,305,5,6–7 hours,29,"Hotel pickup and drop-off, Private tour with a tuk tuk or air conditioned vehicle, Local English Speaking guide, Bottled water on tour","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
34,65. Old Siem Reap Sunset Food Tour by Tuk-tuk,Tuk Tuk Tours,26,5,4 hours,75,"Private transportation, 4 sit-down, safe-to-eat restaurants, Dinner, Unlimited beer and sodas, Hotel Pickup & Drop-off, Tuktuk Transport, Small-group tour (2-12 people)","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
35,66. 2-Day Angkor Wat and Banteay Srei Temple Tour,Bus Tours,33,5,2 days,55,"Private transportation, 4 sit-down, safe-to-eat restaurants, Dinner, Unlimited beer and sodas, Hotel Pickup & Drop-off, Tuktuk Transport, Small-group tour (2-12 people)",
36,67. Siem Reap Countryside Quad Biking Tour,Adventure Tours,29,5,2 hours,45,"Hotel pickup and drop-off, Guide ATV bike, Helmet, Bottled water","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
37,68. Private Half Day To Killing Field & S21 Genocidal Museum in Phnom Penh,Bus Tours,17,5,4–6 hours,130,"Private English Speaking Tour Guide, Private Transportation with A/C, Pure Drinking Water","Asia, Cambodia, Phnom Penh, Things to Do in Phnom Penh, Phnom Penh Tours, Tours and Tickets"
38,69. Oudong and Koh Chen Island - Full Day Cruise & Tour with English speaking guide,Full-day Tours,6,5,6+ hours,110,"Hotel pick up and drop off, Lunch, Unlimited beer and soft drinks, Fresh fruit platter, Return Tuk Tuk trip from Koh Chen to Oudong Mountain, Entrance fee, English speaking guide, Entry/Admission - Phnom Penh","Asia, Cambodia, Phnom Penh, Things to Do in Phnom Penh, Phnom Penh Tours, Tours and Tickets"
39,70. Apsara Theatre Performance include Dinner,Bus Tours,,,1–2 hours,37.5,"Free transfer from & to Your Hotel, All Government Taxes, Apsara dance show admission with dinner, Entry/Admission - Angkor Village Apsara Theatre, Guaranteed to skip the lines","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
40,71. Bike the Angkor Temples Active Day Tour,Full-day Tours,337,5,6+ hours,55,"Professional guide, Use of bicycle and safety equipment, Lunch, Bottled water, Snacks","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
41,72. Private Angkor Wat Sunrise Tour,Bus Tours,83,5,6+ hours,26,"Experienced and licensed English Speaking Tour Guide, Air-conditioned vehicle, Bottled water, Hotel Pick up and Drop Off","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
42,73. Bangkok to Angkor Wat Tour 3 Days 2 Nights from Bangkok,Multi-day Tours,8,5,3 days,490,"Hotel pickup and drop-off, Private tour by air-conditioning vehicle, 2 nights accommodation at standard hotel with breakfast, Licensed tour guide, Temples Ticket, Entry/Admission - Chong Kneas Floating Village, Entry/Admission - Angkor Wat, Entry/Admission - Angkor Thom South Gate, Entry/Admission - Bayon Temple, Entry/Admission - Preah Khan, Entry/Admission - Ta Prohm Temple, Entry/Admission - Angkor Wat","Asia, Thailand, Bangkok, Things to Do in Bangkok, Bangkok Tours, Tours and Tickets"
43,74. Private Full-Day Angkor Temple and Sunset Viewing,Full-day Tours,51,4.5,6+ hours,37.95,"Hotel pickup and drop-off, Sightseeing as specified in the itinerary, Transport by private vehicle, Mineral Water, Sunset Viewing","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
44,"75. Full-Day Tour - City & Countryside, Old Bamboo Train, Secret Bat Cave & Sunset",Full-day Tours,68,5,8–9 hours,20,"Private transportation, Entry/Admission - Battambang Bat Caves","Asia, Cambodia, Battambang Province, Battambang, Things to Do in Battambang, Battambang Tours, Tours and Tickets"
45,76. Bike to the backroads of Kampot,Half-day Tours,43,5,4 hours,25,"Drinking water, Local guide, Bicycle and helmet","Asia, Cambodia, Kampot Province, Kampot, Things to Do in Kampot, Kampot Tours, Tours and Tickets"
46,77. Monk Blessing Ceremony in Siem Reap,Bus Tours,1,5,1–2 hours,29.16,"English-speaking driver, Monk ceremony, Sarong, Transport by private car or tuk tuk, Entry/Admission - Wat Athvear Temple","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
47,78. Privately Guided Full Day TukTuk City Tour of Phnom Penh and Area,Full-day Tours,7,5,8–9 hours,60,Bottled water,"Asia, Cambodia, Phnom Penh, Things to Do in Phnom Penh, Phnom Penh Tours, Tours and Tickets"
48,79. ATV Grand Sunset Tour,Private Sightseeing Tours,37,5,2 hours,71.8,"Bottle of water and fresh towel after the tour, Driver/Instructor, Hotel pickup and drop-off ( in the city of Siem Reap only), Helmet, Face mask and Rain coat ( in case of rain), Private tour, Bottled water, Entry/Admission - Quad Adventure Cambodia Siem Reap","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
49,80. La Plantation tour (discovering Kampot Pepper) + Lunch,Walking Tours,47,4.5,2–4 hours,21,"Lunch (starter - main dish - dessert), Guided tour + tasting","Asia, Cambodia, Kampot Province, Kampot, Things to Do in Kampot, Kampot Tours, Tours and Tickets"
50,81.  Phnom Penh Authentic Food Tour 100% By Local,Tuk Tuk Tours,36,5,4 hours,69,"Inclusive of meals, snacks, drinks. Drinks are limited to local beer, water and soft drinks., Unlimited beers and water, Unlimited local beers, Hotel pick up and drop off","Asia, Cambodia, Phnom Penh, Things to Do in Phnom Penh, Phnom Penh Tours, Tours and Tickets"
51,82. Siem Reap Street Food Tour,Tuk Tuk Tours,15,5,2 hours,30,"English-Speaking Tour Guide, Transportation Tuk Tuk, Bottles of drinking cold Water, Food tasting","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
52,83. Silk Island Tour by Tuk Tuk,Bike Tours,18,4.5,3–5 hours,49,"Hotel pickup and drop-off, English speaking guide, Cambodia lunch or dinner, Ferry crossing fee of the Mekong River, Travel by Tuk Tuk, Entry/Admission - Mekong Island - Koh Dach","Asia, Cambodia, Phnom Penh, Things to Do in Phnom Penh, Phnom Penh Tours, Tours and Tickets"
53,84. Full-Day Amazing Phnom Penh City Tours,Bus Tours,1,5,5–6 hours,87.18,"All entrance fee are mentioned on attracting points, Private Licensing Tour Guide, Hotel Pickup and Drop-off, Hand Cold Tower, Cold Battle of waters, Private Conformable Transportation, Entry/Admission - Royal Palace, Entry/Admission - Silver Pagoda, Entry/Admission - Choeung Ek Genocidal Center, Entry/Admission - Tuol Sleng Genocide Museum, Entry/Admission - Russian Market","Asia, Cambodia, Phnom Penh, Things to Do in Phnom Penh, Phnom Penh Tours, Tours and Tickets"
54,85. Full-Day Phnom Penh Small Group City Tours,Bus Tours,,,6–7 minutes,49,"Transportation for the whole tour, Licensing English Speaking Tour Guide, Cold bottle of waters during the tour","Asia, Cambodia, Phnom Penh, Things to Do in Phnom Penh, Phnom Penh Tours, Tours and Tickets"
55,86. Angkor Sunrise Jeep Tour - Inclusive Breakfast & Lunch,Full-day Tours,133,5,6+ hours,90,"Round trip by Army Jeep, Bottled Water, Professional English speaking guide, Breakfast, Lunch, Experienced driver, Light refreshment","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
56,87. Siem Reap Evening Foodie Vespa Tour,Private and Luxury,73,5,4–5 hours,55,"Water & soft drinks, Food tasting & Cold beverage., Private transportation, Scooter & Experience driver included., helmet & first aid kit., All Fees and Taxes","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
57,88. Full Day Archeological Tour in Siem Reap,Bus Tours,12,5,6+ hours,12,"Water & soft drinks, Food tasting & Cold beverage., Private transportation, Scooter & Experience driver included., helmet & first aid kit., All Fees and Taxes",
58,89. Half Day Kompong Pluck Floating Village on Tonle Sap with Sunset,Adventure Tours,7,5,6 hours,18,"Air-conditioned vehicle, English speaking guide, Boat ride around the village and sun set, Cool water, Pick up /Drop off","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
59,90. Apsara Dance Performance - Including Buffet Dinner & Hotel Pickup,1–2 hours,1,5,1–2 hours,25,"Pick-up and drop-off hotel in Siem Reap, Drinking water and cool towel during trip, Round trip transfer by tuk tuk, Dinner - Buffet dinner, Entry/Admission (Amazon Angkor Restaurant)","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
60,91.  Sunrise Angkor Wat Half Day Join-In Tour (by luxury MiniVan),Full-day Tours,966,5,7–8 hours,15,"Cold towels & Water, Local taxes, Professional English Spoken Tour Guide, Hotel pickup (4:20am to 4:50am), Transport by luxury air-conditioned mini-bus, Hotel Drop off (12:30pm)","Asia, Cambodia, Siem Reap Province, Siem Reap, Svay Dangkum, Things to Do in Svay Dangkum, Svay Dangkum Tours, Tours and Tickets"
61,92. Peaceful Angkor Wat Private Day Tour,National Parks,28,5,8–10 hours,120,"English speaking tour guide, Air-conditioned vehicle, Cold drinking water bottles, Home-made refreshing wipes, Hotel pickup and drop-off","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
62,93. Floating Village Sunset Boat & Jeep Tour - Inclusive Drinks,City Tours,34,5,6 hours,70,"Local Snack, Cool bottled of water & Beverages, Open Air Jeep for round trip transportation, Wooden Boat to see Floating Village and sunset, All Fees and Taxes, English Speaking Guide, Soft drink or Beer, Entry/Admission - Chong Kneas Floating Village, Entry/Admission - Tonle Sap Lake","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
63,94. Quad Bike Ride Explore Local Villages,Adventure Tours,4,5,1–2 hours,40,"ATV Quad Bike, Cold pure drinking water and cold towel during activities, Helmet, English driver","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
64,95. Sombai Cocktail Class + 11 liquor Tasting,Cocktail Tastings,10,5,2 hours,19,"3 cocktails, Visit of the workshop, Snacks, Liqueur tasting","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
65,96. The Mekong Silk Island Guided Cruise,Day Cruises,1,5,3–4 hours,25,"Private transportation, Entry/Admission - Mekong River","Asia, Cambodia, Phnom Penh, Things to Do in Phnom Penh, Phnom Penh Tours, Tours and Tickets"
66,97. Kompong Phluk Village Tonle Sap Lake Half-Day Tour From Siem Reap,Day Cruises,21,4,4–5 hours,49,"Professional tara lake guide, all boats, Transportation by air-conditioned cars or minivans, Hotel pickup and drop-off, Light fruit lunch, Water, All checkpoint fees, Entry/Admission - Kompong Phluk","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
67,98. Kompong Phluk and Tonle Sap Lake Cruising Tour from Siem Reap,Bus Tours,11,4.5,6 hours,59,"English Speaking Guide (License guide), Air-con Vehicle (Van or Bus), NOTE : This is low water season, so for view of the lake not so beautiful like high water season., Boat Trip to Kampong Phluk (Note: this price not include with small boat, small boat is the optional for client if client want to try they pay by themselves), Mineral Water, Pickup and drop off from hotel client stay (in Siem Reap), Departure Time : 8:30am, Please kindly ready and wait at hotel lobby for pick up between : 7:30am - 8:30am, Departure Time : 2:00pm, Please kindly ready and wait at hotel lobby for pick up between : 1:00pm - 2:00pm","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
68,99. One Day Private Guide Tours History & Killing Fields Phnom Penh,Bus Tours,3,5,6+ hours,128.21,"Private transportation by modern air-conditioned vehicle, Professional Licensed English Speaking guide, Sightseeing as specified in the itinerary including entrance fees, Lunch at Friends Restaurant. This vibrant and colourful training restaurant., 02 bottles of mineral water per person while sightseeing and transfers, VAT and all taxes and service charge, Included admission fee to visit the royal palace $10.00 person, Included admission fee to visit the National Museum $10.00 person, Included admission fee to visit the Choeung Ek Genocidal Center $5.00 person, Included admission fee to visit the Tuol Sleng Genocide Museum $5.00 person, Included admission fee to visit the Wat Phnom Temple $1.00 person, Entry/Admission - Royal Palace, Entry/Admission - National Museum, Entry/Admission - Wat Phnom, Entry/Admission - Choeung Ek Genocidal Center, Entry/Admission - Tuol Sleng Genocide Museum","Asia, Cambodia, Phnom Penh, Things to Do in Phnom Penh, Phnom Penh Tours, Tours and Tickets"
69,100. A day Trip Sightseeing Phnom Penh - Siem Reap - Private English Speaking Driver,9–11 hours,20,5,9–11 hours,105,"Gasoline, Toll, Parking fee, Passenger insurance, English speaking driver, Free cold water of bottles during the tours","Asia, Cambodia, Phnom Penh, Things to Do in Phnom Penh, Phnom Penh Tours, Tours and Tickets"
70,101. Half Day Kompong Pluck Floating Village on Tonle Sap with Sunset,Adventure Tours,7,5,6 hours,18,"Air-conditioned vehicle, English speaking guide, Boat ride around the village and sun set, Cool water, Pick up /Drop off","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
71,102. Private Taxi Transfer From Phnom Penh to Siem Reap with English Speaking Driver,5–6 hours,9,5,5–6 hours,65,"Gasoline, Tolls, Parking., Barthroom and food break, Passenger insurance","Asia, Cambodia, Phnom Penh, Things to Do in Phnom Penh, Phnom Penh Tours, Tours and Tickets"
72,103. Cambodian Pottery Class in Siem Reap,Pottery Classes,107,4.5,1–2 hours,33,"Hotel pickup and drop-off by tuk tuk, Workshop visit, Local guide and pottery teacher, All art materials, Pottery class, Pottery demonstration, Pottery bowl (handmade by you), A ‘’Cambodian Potter Diploma, Bottle of water, All taxes, fees and handling charges","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
73,"104. Battambang Tour: Bamboo Train, Killing Cave, Monkey forest, Sunset Bat cave",Tuk Tuk Tours,5,5,4–5 hours,15,"Transportation: Tuk tuk, Driver as English speaking tour guide, Bottled water","Asia, Cambodia, Battambang Province, Battambang, Things to Do in Battambang, Battambang Tours, Tours and Tickets"
74,"105. 2 Day private tour: Small tour, Big tour, sunrise and sunset,floating village.",Car Tours,18,5,2 days,225.65,"tour guide to all the main temples, transportation (A/C car). cold water and cold towels.","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
75,106. Old Siem Reap Sunset Food Tour by Tuk-tuk,Tuk Tuk Tours,26,5,4 hours,75,"Private transportation, 4 sit-down, safe-to-eat restaurants, Dinner, Unlimited beer and sodas, Hotel Pickup & Drop-off, Tuktuk Transport, Small-group tour (2-12 people)","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
76,107. Phnom Penh Killing Fields and Prison S21 Join Tour,Full-day Tours,126,4,5–6 hours,15,"Hotel pickup and drop-off (downtown Phnom Penh), Recorded documentary played on-board, English-speaking bus attendant, Separate driver, Free WiFi, 1 x bottle of drinking water","Asia, Cambodia, Phnom Penh, Things to Do in Phnom Penh, Phnom Penh Tours, Tours and Tickets"
77,108. Amazing craft classes and boat trip to lotus fields,Art Classes,4,5,2 hours,40,"Hotel pickup and drop-off (downtown Phnom Penh), Recorded documentary played on-board, English-speaking bus attendant, Separate driver, Free WiFi, 1 x bottle of drinking water",
78,109. Oudong Mountain And Floating Village Cycle Tour,Adventure Tours,16,5,6+ hours,89,"Hotel pick up and drop off, English speaking cycle guide, Cannondale Mountain Bike and Helmet, Purified drinking water, and some tropical fruits, 1 lunch at Khmer local restaurant, Ferry crossing fee of the Tonle Sap Lake and supported vehicle, Entry/Admission - Udong Mountain","Asia, Cambodia, Phnom Penh, Things to Do in Phnom Penh, Phnom Penh Tours, Tours and Tickets"
